shipment_id,origin,destination,carrier,transport_mode,shipment_date,planned_eta,planned_transit_days,days_in_transit,shipment_status,package_weight_kg,num_stops,customs_clearance_flag,weather_condition,weather_severity_score,traffic_congestion_level,port_congestion_score,disruption_type,disruption_impact_score,carrier_reliability_score,historical_delay_rate,route_risk_score,delay_probability,is_delayed,actual_delay_hours
SHP100000,Rotterdam,Sydney,UPS,Sea,2024-05-07,2024-06-05,29,27,Out for Delivery,1662.52,1,0,Heavy Rain,5.41,5,3,Port Strike,8.97,0.897,0.231,0.1,0.9778,1,33.4
SHP100001,Dubai,Sydney,FedEx,Air,2024-05-02,2024-05-07,5,3,Out for Delivery,2114.26,1,0,Rain,2.08,2,9,Port Strike,8.57,0.922,0.395,0.42,1.0,1,82.2
SHP100002,Mumbai,London,FedEx,Road,2023-01-18,2023-01-27,9,6,Customs Hold,3609.1,2,0,Rain,2.33,7,8,Equipment Failure,6.34,0.949,0.333,0.38,1.0,1,35.7
SHP100003,Dubai,Singapore,DB Schenker,Rail,2024-10-28,2024-11-04,7,3,Delayed,611.27,2,1,Storm,8.05,5,4,Port Strike,8.77,0.872,0.128,0.15,0.8623,1,67.7
SHP100004,Hamburg,Tokyo,FedEx,Rail,2023-11-16,2023-11-24,8,6,In Transit,3876.76,5,0,Storm,8.03,2,1,Port Strike,9.28,0.924,0.113,0.33,1.0,1,65.9
SHP100005,Rotterdam,Singapore,Maersk,Sea,2024-07-06,2024-08-04,29,23,At Port,2401.97,2,1,Rain,1.51,6,1,Equipment Failure,5.68,0.843,0.028,0.33,0.8563,1,32.5
SHP100006,Hamburg,Sydney,DB Schenker,Rail,2024-02-27,2024-03-05,7,4,Out for Delivery,4259.08,1,1,Fog,4.47,5,3,Equipment Failure,6.49,0.861,0.251,0.14,0.8015,1,66.5
SHP100007,Shanghai,London,DB Schenker,Road,2024-08-01,2024-08-09,8,9,Customs Hold,1339.88,4,0,Rain,1.93,8,9,Traffic Jam,3.98,0.83,0.177,0.38,0.9863,1,30.1
SHP100008,Hamburg,New York,Maersk,Rail,2024-08-28,2024-09-10,13,12,Customs Hold,137.54,4,0,Blizzard,8.57,4,5,Equipment Failure,6.32,0.798,0.115,0.39,1.0,1,53.6
SHP100009,Los Angeles,Tokyo,DB Schenker,Sea,2024-01-24,2024-02-19,26,2,At Port,4112.61,2,1,Blizzard,8.52,5,3,Port Strike,8.59,0.859,0.077,0.25,0.9323,1,46.3
SHP100010,Shanghai,London,DB Schenker,Air,2023-09-26,2023-09-30,4,6,Delayed,304.84,3,1,Rain,1.95,1,5,Port Strike,9.47,0.856,0.305,0.21,1.0,1,8.2
SHP100011,Shanghai,Tokyo,DHL,Rail,2023-02-10,2023-02-18,8,0,Out for Delivery,2124.12,1,1,Clear,0.0,4,8,Traffic Jam,4.06,0.881,0.056,0.38,0.7314,1,19.1
SHP100012,Hamburg,Singapore,FedEx,Rail,2023-05-11,2023-05-21,10,3,Delayed,1375.07,4,1,Fog,3.99,5,6,Port Strike,9.04,0.971,0.238,0.26,0.8717,1,23.6
SHP100013,Mumbai,Sydney,UPS,Road,2023-06-22,2023-06-26,4,1,At Port,770.7,3,0,Blizzard,9.17,9,2,Traffic Jam,4.3,0.904,0.021,0.3,0.8797,1,77.4
SHP100014,Hamburg,Chicago,FedEx,Rail,2023-05-16,2023-05-30,14,7,In Transit,2232.13,5,0,Storm,8.11,4,2,Port Strike,9.25,0.943,0.206,0.28,0.976,1,78.1
SHP100015,Mumbai,Sydney,UPS,Rail,2024-10-04,2024-10-14,10,5,At Port,1041.12,1,0,Rain,2.23,4,8,Natural Disaster,9.92,0.925,0.36,0.3,0.9831,1,75.9
SHP100016,Dubai,Sydney,Maersk,Road,2023-04-04,2023-04-09,5,9,In Transit,997.51,3,0,Rain,1.82,8,10,Natural Disaster,10.03,0.835,0.371,0.41,1.0,1,55.7
SHP100017,Rotterdam,New York,XPO Logistics,Road,2023-08-03,2023-08-06,3,1,At Port,4514.7,5,0,Snow,6.23,8,6,Port Strike,9.34,0.839,0.029,0.37,1.0,1,34.1
SHP100018,Los Angeles,New York,UPS,Sea,2023-11-25,2023-12-14,19,19,Out for Delivery,3050.99,2,0,Storm,7.64,6,4,Natural Disaster,9.67,0.892,0.253,0.43,1.0,1,78.1
SHP100019,Los Angeles,London,Maersk,Rail,2023-01-27,2023-02-11,15,13,Delayed,1897.73,2,0,Storm,8.12,5,7,Natural Disaster,9.98,0.854,0.322,0.28,1.0,1,52.0
SHP100020,Shanghai,New York,FedEx,Sea,2024-07-11,2024-07-30,19,14,Customs Hold,2249.62,4,0,Fog,4.42,4,2,None,0.0,0.897,0.311,0.35,0.8569,1,12.7
