shipment_id,risk_tier,delay_probability,eta,hours_to_sla,origin,destination,carrier,transport_mode,top_risk_factors,action_required,alert_generated_at,alert_type
SHP100000,CRITICAL,1.0,2024-06-05,0,Rotterdam,Sydney,UPS,Sea,"['Disruption: Port Strike [score: 9.0]', 'Weather severity (Heavy Rain) [score: 5.4]', 'Traffic congestion level (Sea) [score: 5.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100001,CRITICAL,1.0,2024-05-07,0,Dubai,Sydney,FedEx,Air,"['Port congestion [score: 9.0]', 'Disruption: Port Strike [score: 8.6]', 'High route risk [score: 4.2]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100002,CRITICAL,1.0,2023-01-27,0,Mumbai,London,FedEx,Road,"['Port congestion [score: 8.0]', 'Traffic congestion level (Road) [score: 7.0]', 'Disruption: Equipment Failure [score: 6.3]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100003,CRITICAL,1.0,2024-11-04,0,Dubai,Singapore,DB Schenker,Rail,"['Disruption: Port Strike [score: 8.8]', 'Weather severity (Storm) [score: 8.1]', 'Customs hold active [score: 8.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100004,CRITICAL,1.0,2023-11-24,0,Hamburg,Tokyo,FedEx,Rail,"['Disruption: Port Strike [score: 9.3]', 'Weather severity (Storm) [score: 8.0]', 'High route risk [score: 3.3]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100005,CRITICAL,1.0,2024-08-04,0,Rotterdam,Singapore,Maersk,Sea,"['Customs hold active [score: 8.0]', 'Traffic congestion level (Sea) [score: 6.0]', 'Disruption: Equipment Failure [score: 5.7]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100006,CRITICAL,1.0,2024-03-05,0,Hamburg,Sydney,DB Schenker,Rail,"['Customs hold active [score: 8.0]', 'Disruption: Equipment Failure [score: 6.5]', 'Traffic congestion level (Rail) [score: 5.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100007,CRITICAL,1.0,2024-08-09,0,Shanghai,London,DB Schenker,Road,"['Port congestion [score: 9.0]', 'Traffic congestion level (Road) [score: 8.0]', 'Disruption: Traffic Jam [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100008,CRITICAL,1.0,2024-09-10,0,Hamburg,New York,Maersk,Rail,"['Weather severity (Blizzard) [score: 8.6]', 'Disruption: Equipment Failure [score: 6.3]', 'Port congestion [score: 5.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100009,CRITICAL,1.0,2024-02-19,0,Los Angeles,Tokyo,DB Schenker,Sea,"['Disruption: Port Strike [score: 8.6]', 'Weather severity (Blizzard) [score: 8.5]', 'Customs hold active [score: 8.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100010,CRITICAL,1.0,2023-09-30,0,Shanghai,London,DB Schenker,Air,"['Disruption: Port Strike [score: 9.5]', 'Customs hold active [score: 8.0]', 'Port congestion [score: 5.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100011,CRITICAL,1.0,2023-02-18,0,Shanghai,Tokyo,DHL,Rail,"['Port congestion [score: 8.0]', 'Customs hold active [score: 8.0]', 'Disruption: Traffic Jam [score: 4.1]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100012,CRITICAL,1.0,2023-05-21,0,Hamburg,Singapore,FedEx,Rail,"['Disruption: Port Strike [score: 9.0]', 'Customs hold active [score: 8.0]', 'Port congestion [score: 6.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100013,CRITICAL,0.9998,2023-06-26,0,Mumbai,Sydney,UPS,Road,"['Weather severity (Blizzard) [score: 9.2]', 'Traffic congestion level (Road) [score: 9.0]', 'Disruption: Traffic Jam [score: 4.3]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100014,CRITICAL,1.0,2023-05-30,0,Hamburg,Chicago,FedEx,Rail,"['Disruption: Port Strike [score: 9.2]', 'Weather severity (Storm) [score: 8.1]', 'Traffic congestion level (Rail) [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100015,CRITICAL,1.0,2024-10-14,0,Mumbai,Sydney,UPS,Rail,"['Disruption: Natural Disaster [score: 9.9]', 'Port congestion [score: 8.0]', 'Traffic congestion level (Rail) [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100016,CRITICAL,1.0,2023-04-09,0,Dubai,Sydney,Maersk,Road,"['Disruption: Natural Disaster [score: 10.0]', 'Port congestion [score: 10.0]', 'Traffic congestion level (Road) [score: 8.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100017,CRITICAL,1.0,2023-08-06,0,Rotterdam,New York,XPO Logistics,Road,"['Disruption: Port Strike [score: 9.3]', 'Traffic congestion level (Road) [score: 8.0]', 'Weather severity (Snow) [score: 6.2]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100018,CRITICAL,1.0,2023-12-14,0,Los Angeles,New York,UPS,Sea,"['Disruption: Natural Disaster [score: 9.7]', 'Weather severity (Storm) [score: 7.6]', 'Traffic congestion level (Sea) [score: 6.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100019,CRITICAL,1.0,2023-02-11,0,Los Angeles,London,Maersk,Rail,"['Disruption: Natural Disaster [score: 10.0]', 'Weather severity (Storm) [score: 8.1]', 'Port congestion [score: 7.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100020,CRITICAL,1.0,2024-07-30,0,Shanghai,New York,FedEx,Sea,"['Weather severity (Fog) [score: 4.4]', 'Traffic congestion level (Sea) [score: 4.0]', 'High route risk [score: 3.5]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100021,CRITICAL,1.0,2023-11-06,0,Mumbai,Chicago,DHL,Rail,"['Port congestion [score: 9.0]', 'Disruption: Traffic Jam [score: 4.5]', 'Traffic congestion level (Rail) [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100022,CRITICAL,1.0,2023-06-12,0,Dubai,New York,DB Schenker,Air,"['Disruption: Equipment Failure [score: 6.4]', 'Weather severity (Fog) [score: 4.5]', 'Traffic congestion level (Air) [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100023,CRITICAL,1.0,2024-02-15,0,Shanghai,Singapore,UPS,Road,"['Weather severity (Blizzard) [score: 9.4]', 'Disruption: Port Strike [score: 8.7]', 'Customs hold active [score: 8.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100024,CRITICAL,1.0,2023-06-17,0,Mumbai,Chicago,Maersk,Rail,"['Disruption: Port Strike [score: 9.1]', 'Weather severity (Snow) [score: 5.9]', 'Traffic congestion level (Rail) [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100025,CRITICAL,1.0,2024-12-06,0,Hamburg,Singapore,DHL,Road,"['Disruption: Port Strike [score: 9.0]', 'Traffic congestion level (Road) [score: 8.0]', 'Port congestion [score: 8.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100026,CRITICAL,1.0,2023-06-05,0,Mumbai,London,DHL,Air,"['Weather severity (Storm) [score: 8.4]', 'Port congestion [score: 6.0]', 'Disruption: Traffic Jam [score: 3.9]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100027,CRITICAL,1.0,2023-07-08,0,Rotterdam,Sydney,UPS,Sea,"['Disruption: Port Strike [score: 9.0]', 'Customs hold active [score: 8.0]', 'Port congestion [score: 5.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100028,CRITICAL,1.0,2023-10-01,0,Hamburg,Chicago,DHL,Sea,"['Weather severity (Snow) [score: 5.8]', 'Traffic congestion level (Sea) [score: 5.0]', 'Port congestion [score: 5.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100029,CRITICAL,1.0,2023-09-12,0,Shanghai,London,DB Schenker,Air,"['Weather severity (Blizzard) [score: 9.4]', 'Disruption: Port Strike [score: 8.7]', 'Traffic congestion level (Air) [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100030,CRITICAL,1.0,2023-09-20,0,Rotterdam,Singapore,UPS,Sea,"['Disruption: Natural Disaster [score: 10.1]', 'Weather severity (Snow) [score: 6.5]', 'Traffic congestion level (Sea) [score: 6.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100031,CRITICAL,1.0,2023-06-19,0,Hamburg,Chicago,XPO Logistics,Rail,"['Weather severity (Blizzard) [score: 9.5]', 'Port congestion [score: 6.0]', 'Traffic congestion level (Rail) [score: 5.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100032,CRITICAL,1.0,2024-02-29,0,Dubai,New York,XPO Logistics,Rail,"['Customs hold active [score: 8.0]', 'Port congestion [score: 7.0]', 'Weather severity (Heavy Rain) [score: 4.7]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100033,CRITICAL,1.0,2023-04-15,0,Dubai,Chicago,UPS,Sea,"['Customs hold active [score: 8.0]', 'Disruption: Equipment Failure [score: 5.6]', 'High route risk [score: 4.2]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100034,CRITICAL,1.0,2024-04-18,0,Shanghai,New York,Maersk,Rail,"['Disruption: Port Strike [score: 8.9]', 'Weather severity (Storm) [score: 8.1]', 'Traffic congestion level (Rail) [score: 5.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100035,CRITICAL,1.0,2023-01-30,0,Shanghai,Tokyo,FedEx,Road,"['Traffic congestion level (Road) [score: 6.0]', 'Weather severity (Fog) [score: 4.0]', 'High route risk [score: 2.8]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100036,CRITICAL,1.0,2024-08-24,0,Mumbai,Sydney,FedEx,Air,"['Port congestion [score: 9.0]', 'Disruption: Port Strike [score: 8.8]', 'Weather severity (Snow) [score: 6.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100037,CRITICAL,1.0,2023-08-07,0,Dubai,Sydney,Maersk,Rail,"['Port congestion [score: 9.0]', 'Weather severity (Snow) [score: 6.0]', 'Disruption: Traffic Jam [score: 4.5]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100038,CRITICAL,1.0,2024-09-14,0,Hamburg,Sydney,FedEx,Air,"['Customs hold active [score: 8.0]', 'Traffic congestion level (Air) [score: 4.0]', 'Disruption: Traffic Jam [score: 3.5]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100039,CRITICAL,1.0,2023-11-15,0,Shanghai,London,Maersk,Sea,"['Weather severity (Blizzard) [score: 9.0]', 'Port congestion [score: 8.0]', 'Traffic congestion level (Sea) [score: 6.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100040,CRITICAL,0.9957,2023-10-05,0,Los Angeles,Chicago,Maersk,Air,"['Port congestion [score: 10.0]', 'Weather severity (Heavy Rain) [score: 4.5]', 'Traffic congestion level (Air) [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100041,CRITICAL,1.0,2023-10-16,0,Shanghai,Singapore,UPS,Air,"['Disruption: Natural Disaster [score: 10.1]', 'Weather severity (Storm) [score: 7.9]', 'Port congestion [score: 6.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100042,CRITICAL,1.0,2023-11-05,0,Los Angeles,Chicago,XPO Logistics,Rail,"['Customs hold active [score: 8.0]', 'Weather severity (Storm) [score: 7.8]', 'Traffic congestion level (Rail) [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100043,CRITICAL,1.0,2024-12-04,0,Shanghai,New York,XPO Logistics,Rail,"['Disruption: Port Strike [score: 9.4]', 'Weather severity (Heavy Rain) [score: 5.2]', 'High route risk [score: 3.5]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100044,CRITICAL,1.0,2023-04-04,0,Dubai,Chicago,UPS,Road,"['Disruption: Natural Disaster [score: 10.4]', 'Customs hold active [score: 8.0]', 'Traffic congestion level (Road) [score: 6.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100045,CRITICAL,1.0,2024-12-01,0,Hamburg,Chicago,UPS,Sea,"['Customs hold active [score: 8.0]', 'Port congestion [score: 7.0]', 'Weather severity (Snow) [score: 5.8]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100046,CRITICAL,1.0,2023-10-07,0,Rotterdam,London,DHL,Air,"['Disruption: Natural Disaster [score: 10.3]', 'Weather severity (Blizzard) [score: 8.5]', 'Port congestion [score: 5.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100047,CRITICAL,1.0,2023-05-16,0,Rotterdam,Sydney,DHL,Road,"['Disruption: Port Strike [score: 9.5]', 'Traffic congestion level (Road) [score: 9.0]', 'Weather severity (Heavy Rain) [score: 5.1]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100048,CRITICAL,1.0,2023-02-07,0,Rotterdam,Singapore,DHL,Road,"['Disruption: Natural Disaster [score: 9.6]', 'Traffic congestion level (Road) [score: 8.0]', 'Port congestion [score: 8.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100049,CRITICAL,1.0,2023-03-01,0,Hamburg,Sydney,DHL,Road,"['Disruption: Natural Disaster [score: 10.2]', 'Weather severity (Blizzard) [score: 9.0]', 'Port congestion [score: 9.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100050,CRITICAL,1.0,2024-07-17,0,Los Angeles,Singapore,DHL,Road,"['Disruption: Port Strike [score: 9.2]', 'Traffic congestion level (Road) [score: 9.0]', 'Weather severity (Fog) [score: 4.2]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100051,CRITICAL,1.0,2023-06-29,0,Rotterdam,New York,UPS,Road,"['Disruption: Natural Disaster [score: 10.0]', 'Traffic congestion level (Road) [score: 8.0]', 'Customs hold active [score: 8.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100052,CRITICAL,1.0,2023-03-04,0,Los Angeles,New York,DHL,Sea,"['Customs hold active [score: 8.0]', 'Weather severity (Heavy Rain) [score: 5.4]', 'High route risk [score: 4.1]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100053,CRITICAL,1.0,2023-04-29,0,Rotterdam,Tokyo,UPS,Road,"['Port congestion [score: 9.0]', 'Traffic congestion level (Road) [score: 7.0]', 'Disruption: Traffic Jam [score: 4.3]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100054,CRITICAL,1.0,2024-08-03,0,Dubai,London,Maersk,Air,"['Disruption: Port Strike [score: 9.3]', 'Weather severity (Storm) [score: 7.6]', 'High route risk [score: 3.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100055,CRITICAL,1.0,2024-10-03,0,Dubai,Chicago,UPS,Road,"['Disruption: Port Strike [score: 9.2]', 'Traffic congestion level (Road) [score: 6.0]', 'Weather severity (Snow) [score: 5.8]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100056,CRITICAL,1.0,2023-12-28,0,Los Angeles,London,DB Schenker,Road,"['Disruption: Natural Disaster [score: 9.8]', 'Traffic congestion level (Road) [score: 6.0]', 'Port congestion [score: 6.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100057,CRITICAL,1.0,2024-10-20,0,Los Angeles,London,DB Schenker,Rail,"['Port congestion [score: 10.0]', 'Weather severity (Snow) [score: 6.3]', 'High route risk [score: 2.9]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100058,CRITICAL,1.0,2024-03-10,0,Dubai,New York,DB Schenker,Road,"['Weather severity (Blizzard) [score: 8.9]', 'Traffic congestion level (Road) [score: 7.0]', 'Disruption: Traffic Jam [score: 4.3]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100059,CRITICAL,1.0,2023-03-10,0,Mumbai,Singapore,XPO Logistics,Air,"['Disruption: Port Strike [score: 9.5]', 'Weather severity (Snow) [score: 5.7]', 'Traffic congestion level (Air) [score: 3.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100060,CRITICAL,0.9998,2024-07-08,0,Hamburg,London,UPS,Sea,"['Disruption: Equipment Failure [score: 6.2]', 'Port congestion [score: 5.0]', 'Traffic congestion level (Sea) [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100061,CRITICAL,1.0,2024-05-02,0,Hamburg,New York,DHL,Air,"['Weather severity (Blizzard) [score: 8.9]', 'Disruption: Equipment Failure [score: 6.0]', 'High route risk [score: 2.7]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
SHP100062,CRITICAL,1.0,2024-11-10,0,Los Angeles,New York,FedEx,Rail,"['Disruption: Port Strike [score: 8.6]', 'Weather severity (Snow) [score: 5.7]', 'Traffic congestion level (Rail) [score: 4.0]']",Escalate to operations manager; activate emergency reroute.,2026-03-12 07:53 UTC,IMMEDIATE
