shipment_id,origin,destination,carrier,transport_mode,shipment_date,planned_eta,planned_transit_days,days_in_transit,shipment_status,package_weight_kg,num_stops,customs_clearance_flag,weather_condition,weather_severity_score,traffic_congestion_level,port_congestion_score,disruption_type,disruption_impact_score,carrier_reliability_score,historical_delay_rate,route_risk_score,delay_probability,is_delayed,actual_delay_hours
SHP100000,Dubai,New York,FedEx,Road,2023-04-15,2023-04-18,3,1,Customs Hold,1391.31,5,0,Rain,1.53,7,8,Port Strike,9.2,0.925,0.179,0.35,0.9931,1,73.8
SHP100001,Hamburg,Singapore,Maersk,Road,2023-12-11,2023-12-20,9,5,Out for Delivery,4147.11,3,0,Rain,2.31,9,9,Port Strike,9.47,0.866,0.164,0.29,1.0,1,58.0
SHP100002,Dubai,New York,FedEx,Sea,2023-04-14,2023-05-10,26,10,Out for Delivery,1897.59,4,0,Clear,0.0,3,3,Port Strike,8.67,0.911,0.297,0.31,0.8942,1,60.5
SHP100003,Shanghai,London,FedEx,Road,2023-08-05,2023-08-15,10,14,Delayed,4986.63,2,0,Heavy Rain,5.24,8,6,None,0.0,0.927,0.242,0.36,0.969,1,50.2
SHP100004,Shanghai,New York,FedEx,Sea,2024-09-02,2024-10-02,30,33,Customs Hold,1467.85,1,0,Blizzard,9.44,3,6,Natural Disaster,10.04,0.92,0.121,0.35,1.0,1,46.8
SHP100005,Dubai,Singapore,UPS,Sea,2024-10-16,2024-11-07,22,17,At Port,290.1,2,0,Clear,0.42,5,5,Traffic Jam,3.61,0.953,0.158,0.15,0.534,1,7.3
SHP100006,Mumbai,New York,DB Schenker,Sea,2024-07-16,2024-08-11,26,12,Customs Hold,1690.76,1,0,Snow,6.17,5,4,Natural Disaster,10.02,0.865,0.066,0.25,0.9433,1,55.6
SHP100007,Shanghai,New York,XPO Logistics,Air,2023-12-05,2023-12-07,2,7,Customs Hold,3295.08,1,0,Clear,0.44,4,2,None,0.0,0.832,0.175,0.35,1.0,1,44.1
SHP100008,Mumbai,Singapore,FedEx,Air,2023-04-22,2023-04-25,3,7,In Transit,4180.22,5,0,Storm,7.96,1,1,Traffic Jam,4.36,0.928,0.229,0.26,1.0,1,89.4
SHP100009,Hamburg,London,Maersk,Rail,2023-03-02,2023-03-15,13,8,Delayed,305.26,5,0,Rain,1.79,5,10,Natural Disaster,9.8,0.881,0.388,0.1,0.905,1,10.1
SHP100010,Rotterdam,Sydney,DB Schenker,Sea,2023-07-10,2023-07-30,20,3,In Transit,4673.56,3,0,Fog,4.08,3,9,None,0.0,0.894,0.242,0.32,0.6868,1,45.5
SHP100011,Los Angeles,London,UPS,Rail,2024-04-13,2024-04-27,14,19,Customs Hold,1847.95,2,0,Snow,5.57,3,2,Traffic Jam,3.63,0.977,0.153,0.28,0.7787,1,35.4
SHP100012,Rotterdam,Singapore,UPS,Air,2023-05-18,2023-05-22,4,2,At Port,461.95,1,1,Heavy Rain,5.22,2,5,None,0.35,0.906,0.212,0.34,0.7963,1,64.2
SHP100013,Shanghai,New York,UPS,Sea,2024-07-18,2024-08-22,35,4,Out for Delivery,1541.64,1,0,Rain,1.65,3,3,Natural Disaster,10.08,0.939,0.076,0.35,0.773,1,67.2
SHP100014,Hamburg,Singapore,DHL,Air,2024-02-21,2024-02-24,3,6,Out for Delivery,3936.98,2,0,Blizzard,8.83,4,5,Equipment Failure,6.36,0.922,0.328,0.38,1.0,1,40.4
SHP100015,Shanghai,Sydney,DHL,Sea,2023-08-22,2023-09-09,18,10,Delayed,4696.22,3,0,Heavy Rain,5.27,5,9,Traffic Jam,3.9,0.889,0.393,0.32,1.0,1,84.9
SHP100016,Los Angeles,London,DB Schenker,Road,2024-03-20,2024-03-29,9,1,In Transit,2156.77,3,0,Clear,0.0,9,4,Equipment Failure,6.43,0.85,0.225,0.1,0.8008,1,49.7
